DATE,INDIRLTLT01STM
2015-01-31,
2015-02-28,0.011841666666666632
2015-03-31,-0.0015833333333333203
2015-04-30,0.0047333333333333715
2015-05-31,0.005641666666666686
2015-06-30,0.010108333333333337
2015-07-31,0.005616666666666607
2015-08-31,0.009191666666666688
2015-09-30,0.011841666666666632
2015-10-31,0.0180333333333334
2015-11-30,-0.007041666666666698
2015-12-31,0.0028916666666666635
2016-01-31,0.017191666666666675
2016-02-29,0.0019333333333333477
2016-03-31,0.018916666666666637
2016-04-30,0.01879999999999997
2016-05-31,0.020466666666666678
2016-06-30,-0.013549999999999979
2016-07-31,0.01962500000000003
2016-08-31,0.024849999999999994
2016-09-30,0.03091666666666661
2016-10-31,0.012850000000000006
2016-11-30,0.020808333333333328
2016-12-31,0.012641666666666673
2017-01-31,-0.017741666666666645
2017-02-28,-0.011283333333333367
2017-03-31,-0.006666666666666638
2017-04-30,0.002366666666666663
2017-05-31,0.010424999999999985
2017-06-30,0.05318333333333335
2017-07-31,0.008158333333333356
2017-08-31,0.0010000000000000156
2017-09-30,-0.005200000000000009
2017-10-31,-0.014016666666666722
2017-11-30,-0.014724999999999957
2017-12-31,-0.010074999999999976
2018-01-31,0.01771666666666666
2018-02-28,-0.025191666666666716
2018-03-31,0.0027416666666666635
2018-04-30,0.011691666666666711
2018-05-31,-0.020458333333333318
2018-06-30,-0.0014833333333334007
2018-07-31,0.01910000000000005
2018-08-31,0.004716666666666626
2018-09-30,-0.011316666666666607
2018-10-31,0.015599999999999968
2018-11-30,0.019083333333333306
2018-12-31,0.04304166666666667
2019-01-31,0.007925000000000041
2019-02-28,-0.0010083333333333402
2019-03-31,0.007974999999999961
2019-04-30,0.0052833333333333525
2019-05-31,0.014208333333333321
2019-06-30,0.038208333333333365
2019-07-31,0.03880000000000001
2019-08-31,0.0037166666666666247
2019-09-30,-0.011424999999999956
2019-10-31,0.02974999999999996
2019-11-30,-0.002574999999999988
2019-12-31,-0.014091666666666645
2020-01-31,0.008383333333333276
2020-02-29,0.019950000000000013
2020-03-31,0.0019833333333333304
2020-04-30,-0.000658333333333279
2020-05-31,0.0814333333333333
2020-06-30,0.010283333333333299
2020-07-31,0.00934166666666673
2020-08-31,-0.012991666666666683
2020-09-30,0.004116666666666686
2020-10-31,0.012149999999999926
2020-11-30,0.00851666666666667
2020-12-31,0.005808333333333394
2021-01-31,0.00044999999999993656
2021-02-28,-0.017341666666666665
2021-03-31,-0.009108333333333265
2021-04-30,0.01153333333333328
2021-05-31,0.00969166666666665
2021-06-30,0.0016250000000000765
2021-07-31,0.010574999999999965
2021-08-31,-0.0010666666666666914
2021-09-30,0.01325833333333332
2021-10-31,-0.009999999999999995
2021-11-30,0.006191666666666727
2021-12-31,-0.002733333333333401
2022-01-31,-0.012466666666666605
2022-02-28,-0.004275000000000028
2022-03-31,-0.0006166666666666924
2022-04-30,-0.020175000000000002
2022-05-31,-0.01904166666666661
2022-06-30,-0.00632500000000005
2022-07-31,0.017866666666666656
2022-08-31,0.017758333333333404
2022-09-30,0.005166666666666607
2022-10-31,-0.00998333333333331
2022-11-30,0.015133333333333304
2022-12-31,0.012375000000000025
2023-01-31,-0.0028416666666666373
2023-02-28,0.011508333333333298
2023-03-31,0.0034333333333333113
2023-04-30,0.022183333333333388
2023-05-31,0.02114166666666666
2023-06-30,0.002274999999999996
2023-07-31,0.0005249999999999552
2023-08-31,-0.00031666666666661184
2023-09-30,0.006874999999999981
2023-10-31,-0.010074999999999976
2023-11-30,0.013258333333333339
2023-12-31,0.010516666666666652
2024-01-31,0.007799999999999962
2024-02-29,0.01580833333333336
2024-03-31,0.007691666666666628
2024-04-30,-0.0012416666666666722
2024-05-31,0.014875000000000044
2024-06-30,0.008550000000000023
2024-07-31,0.006741666666666647
2024-08-31,0.014758333333333304
2024-09-30,0.012891666666666673
2024-10-31,0.009258333333333337
2024-11-30,0.0029833333333333105
2024-12-31,0.009250000000000003
2025-01-31,0.007433333333333375
2025-02-28,0.008308333333333275
2025-03-31,0.01006666666666673
